"","LATITUDE","LONGITUDE"
"331075",40.751457,-73.978165
"331101",40.804714,-73.95826
"331105",40.75034,-73.983185
"331110",40.803387,-73.93604
"331124",40.766285,-73.98186
"331128",40.80142,-73.93446
"331136",40.760857,-73.961075
"331147",40.73669,-73.993126
"331169",40.75591,-73.99448
"331178",40.766502,-73.99418
"331189",40.86357,-73.92602
"331196",40.78065,-73.97643
"331199",40.72884,-73.99828
"331200",40.757847,-73.991234
"331215",40.762226,-73.96819
"331220",40.745533,-73.97765
"331225",40.719395,-74.00189
"331236",40.85735,-73.936584
"331237",40.780437,-73.94989
"331254",40.777874,-73.95175
"331285",40.836613,-73.945175
"331288",40.758217,-73.98907
"331297",40.74943,-73.977165
"331300",40.808018,-73.936226
"331305",40.75304,-73.98121
"331306",40.712357,-74.0009
"331335",40.75584,-73.99238
"331345",40.86287,-73.92556
"331370",40.76142,-73.984055
"331378",40.80098,-73.93178
"331391",40.72223,-74.00344
"331394",40.784534,-73.9736
"331395",40.798286,-73.93875
"331399",40.748436,-73.984566
"331421",40.84691,-73.93824
"331422",40.761173,-73.95789
"331433",40.783146,-73.97833
"331438",40.75925,-73.97693
"331449",40.813187,-73.94268
"331451",40.740185,-73.986374
"331455",40.720623,-73.99498
"331458",40.81293,-73.94403
"331468",40.734844,-73.98312
"331475",40.759876,-73.97622
"331476",40.828613,-73.943855
"331490",40.771774,-73.96754
"331514",40.832474,-73.94232
"331515",40.79024,-73.97315
"331537",40.80054,-73.96192
"331553",40.70509,-74.016464
"331562",40.824993,-73.94288
"331570",40.77161,-73.99046
"331576",40.86369,-73.91707
"331588",40.71329,-73.997246
"331604",40.851234,-73.93939
"331611",40.753,-73.969894
"331615",40.812744,-73.937645
"331641",40.71651,-73.992966
"331654",40.764587,-73.9819
"331655",40.80671,-73.93897
"331657",40.716854,-73.99973
"331676",40.772923,-73.98952
"331688",40.715878,-73.9865
"331735",40.750835,-73.984375
"331737",40.741642,-73.997444
"331740",40.747627,-73.976746
"331753",40.709503,-74.00167
"331756",40.78393,-73.94423
"331763",40.726746,-74.00898
"331788",40.762966,-73.9819
"331794",40.74715,-73.985504
"331796",40.72247,-73.987144
"331842",40.721592,-73.97477
"331861",40.824127,-73.954834
"331866",40.849297,-73.93897
"331876",40.784615,-73.953964
"331887",40.763428,-73.96522
"331941",40.78461,-73.96984
"331945",40.868286,-73.92653
"331950",40.71908,-73.98508
"331960",40.829155,-73.93728
"332013",40.78377,-73.98391
"332015",40.80854,-73.939445
"332036",40.78225,-73.9809
"332052",40.703445,-74.0131
"332081",40.78654,-73.95044
"332107",40.797363,-73.93751
"332116",40.75529,-73.99493
"332146",40.71997,-73.992905
"332167",40.777676,-73.963234
"332171",40.762127,-73.99739
"332203",40.72106,-73.99821
"332221",40.754707,-73.99164
"332222",40.7591,-73.99215
"332235",40.745056,-73.978615
"332242",40.757668,-73.99483
"332262",40.863113,-73.920616
"332265",40.76099,-73.97332
"332271",40.748604,-73.97811
"332274",40.792362,-73.96418
"332275",40.768543,-73.9657
"332286",40.764954,-73.97457
"332288",40.751564,-73.97638
"332303",40.735657,-73.993866
"332313",40.818283,-73.94155
"332316",40.71955,-74.000626
"332317",40.764275,-73.98692
"332319",40.75457,-73.97169
"332334",40.732403,-74.0102
"332341",40.714962,-73.99208
"332368",40.776016,-73.98724
"332374",40.797478,-73.9488
"332375",40.866447,-73.9305
"332378",40.863792,-73.91942
"332379",40.72035,-73.97846
"332387",40.730328,-73.9881
"332388",40.804848,-73.93707
"332392",40.844246,-73.93372
"332393",40.715233,-74.005424
"332412",40.730972,-74.00287
"332413",40.76155,-73.96659
"332419",40.749794,-73.99149
"332446",40.765774,-73.96498
"332456",40.716278,-74.00454
"332460",40.78257,-73.94522
"332470",40.710426,-73.98985
"332471",40.715446,-73.997955
"332500",40.744442,-73.979065
"332526",40.824734,-73.94854
"332532",40.752686,-74.000534
"332578",40.74777,-74.000404
"332579",40.708492,-74.00294
"332580",40.826088,-73.93584
"332583",40.795055,-73.93317
"332587",40.72183,-73.99538
"332595",40.775642,-73.960526
"332614",40.754543,-73.97746
"332628",40.72911,-73.99751
"332642",40.83089,-73.94348
"332652",40.729084,-73.98133
"332653",40.764694,-73.97807
"332659",40.812103,-73.94976
"332662",40.792244,-73.94629
"332705",40.745384,-73.99471
"332706",40.738586,-73.99385
"332707",40.757145,-73.99357
"332730",40.738754,-74.0055
"332731",40.71981,-73.99617
"332740",40.722122,-74.00977
"332770",40.78588,-73.94884
"332773",40.751442,-73.97606
"332775",40.782314,-73.94851
"332778",40.757107,-73.997314
"332812",40.84554,-73.93278
"332821",40.73883,-73.983154
"332822",40.73723,-74.000656
"332823",40.717278,-73.99544
"332831",40.86155,-73.92472
"332849",40.742508,-73.98258
"332859",40.74608,-73.974945
"332879",40.82269,-73.94947
"332889",40.73543,-73.982704
"332894",40.80343,-73.95512
"332902",40.713135,-74.00407
"332926",40.78221,-73.95993
"332935",40.719936,-74.001434
"332936",40.759468,-73.989105
"332945",40.78838,-73.94701
"332948",40.81583,-73.94494
"332957",40.75964,-73.95817
"332959",40.74782,-73.99665
"332967",40.72427,-73.97874
